????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???,????? ?????? ??? ?? ???? ??????? ? ?? ????? ???
???????,?????,CO,O3,NO2,SO2,PM10,PM2.5,AQI,???,???? ????,??????  ???? ???? ????,??????,????? ??????,??????
??? ??,-,,,,,,,,15,262,80,9,,
?? ??????? ??,1395/05/19,46,62,84,20,60,82,82,,1,,,,
?? ??????? ??,1395/05/20,52,63,84,22,63,92,92,,1,,,,
?? ??????? ??,1395/05/21,46,67,88,20,67,90,90,,1,,,,
?? ??????? ??,1395/05/22,48,67,80,18,63,85,85,,1,,,,
?? ??????? ??,1395/05/23,43,55,83,18,58,85,85,,1,,,,
?? ??????? ??,1395/05/24,42,43,80,20,61,87,87,,1,,,,
?? ??????? ??,1395/05/25,51,50,80,21,67,95,95,,1,,,,
?? ??????? ??,1395/05/26,32,48,76,18,65,94,94,,1,,,,
?? ??????? ??,1395/05/27,38,44,77,20,60,83,83,,1,,,,
?? ??????? ??,1395/05/28,40,48,75,21,63,83,83,,1,,,,
?? ??????? ??,1395/05/29,44,46,71,19,62,85,85,,1,,,,
?? ??????? ??,1395/05/30,49,57,72,20,54,81,81,,1,,,,
?? ??????? ??,1395/05/31,41,53,86,20,63,93,93,,1,,,,
?? ??????? ??,1395/06/01,33,55,80,19,64,89,89,,1,,,,
?? ??????? ??,1395/06/02,34,56,80,20,63,87,87,,1,,,,
?? ??????? ??,1395/06/03,39,56,80,20,60,85,85,,1,,,,
?? ??????? ??,1395/06/04,43,60,81,20,68,93,93,,1,,,,
?? ??????? ??,1395/06/05,48,61,78,20,64,90,90,,1,,,,
?? ??????? ??,1395/06/06,51,67,81,22,63,88,88,,1,,,,
?? ??????? ??,1395/06/07,42,69,74,21,69,94,94,,1,,,,
?? ??????? ??,1395/06/08,49,48,86,22,76,99,99,,1,,,,
?? ??????? ??,1395/06/09,45,37,81,21,73,96,96,,1,,,,
?? ??????? ??,1395/06/10,47,46,81,22,71,98,98,,1,,,,
?? ??????? ??,1395/06/11,41,47,76,23,79,101,101,,,1,,,
?? ??????? ??,1395/06/12,30,41,70,20,70,92,92,,1,,,,
?? ??????? ??,1395/06/13,34,48,63,17,114,124,124,,,1,,,
?? ??????? ??,1395/06/14,46,50,72,22,80,107,107,,,1,,,
?? ??????? ??,1395/06/15,53,43,75,19,79,103,103,,,1,,,
?? ??????? ??,1395/06/16,45,43,71,22,67,85,85,,1,,,,
?? ??????? ??,1395/06/17,48,57,88,27,75,103,103,,,1,,,
?? ??????? ??,1395/06/18,32,44,57,18,123,119,123,,,1,,,
?? ??????? ??,1395/06/19,30,38,61,18,75,84,84,,1,,,,
?? ??????? ??,1395/06/20,41,46,67,22,60,78,78,,1,,,,
?? ??????? ??,1395/06/21,36,60,71,22,72,98,98,,1,,,,
?? ??????? ??,1395/06/22,47,55,72,20,78,94,94,,1,,,,
?? ??????? ??,1395/06/23,36,51,63,20,69,86,86,,1,,,,
?? ??????? ??,1395/06/24,38,43,63,22,67,86,86,,1,,,,
?? ??????? ??,1395/06/25,50,48,70,25,72,94,94,,1,,,,
?? ??????? ??,1395/06/26,33,32,58,12,84,89,89,,1,,,,
?? ??????? ??,1395/06/27,45,31,63,22,67,89,89,,1,,,,
?? ??????? ??,1395/06/28,43,34,58,22,62,88,88,,1,,,,
?? ??????? ??,1395/06/29,37,34,64,20,51,65,65,,1,,,,
?? ??????? ??,1395/06/30,54,47,76,22,57,80,80,,1,,,,
?? ??????? ??,1395/06/31,48,68,83,23,60,85,85,,1,,,,
?? ??????? ??,1395/07/01,51,40,80,22,62,84,84,,1,,,,
?? ??????? ??,1395/07/02,62,38,76,20,59,75,75,,1,,,,
?? ??????? ??,1395/07/03,61,41,78,18,60,82,82,,1,,,,
?? ??????? ??,1395/07/04,45,38,78,18,69,91,91,,1,,,,
?? ??????? ??,1395/07/05,54,39,78,19,64,80,80,,1,,,,
?? ??????? ??,1395/07/06,52,38,78,20,58,81,81,,1,,,,
?? ??????? ??,1395/07/07,53,32,78,21,84,110,110,,,1,,,
?? ??????? ??,1395/07/08,53,32,72,17,80,98,98,,1,,,,
?? ??????? ??,1395/07/09,35,28,53,15,122,106,122,,,1,,,
?? ??????? ??,1395/07/10,33,38,62,20,60,76,76,,1,,,,
?? ??????? ??,1395/07/11,32,32,55,21,67,76,76,,1,,,,
?? ??????? ??,1395/07/12,36,26,71,22,61,77,77,,1,,,,
?? ??????? ??,1395/07/13,50,36,74,22,68,95,95,,1,,,,
?? ??????? ??,1395/07/14,47,40,72,20,72,97,97,,1,,,,
?? ??????? ??,1395/07/15,51,39,81,20,73,94,94,,1,,,,
?? ??????? ??,1395/07/16,62,34,77,21,70,91,91,,1,,,,
?? ??????? ??,1395/07/17,54,42,78,20,66,92,92,,1,,,,
?? ??????? ??,1395/07/18,58,48,84,23,70,95,95,,1,,,,
?? ??????? ??,1395/07/19,57,44,78,21,61,83,83,,1,,,,
?? ??????? ??,1395/07/20,48,37,72,21,59,75,75,,1,,,,
?? ??????? ??,1395/07/21,47,44,67,20,53,71,71,,1,,,,
?? ??????? ??,1395/07/22,56,50,70,24,53,71,71,,1,,,,
?? ??????? ??,1395/07/23,46,48,72,22,65,87,87,,1,,,,
?? ??????? ??,1395/07/24,48,41,69,23,60,80,80,,1,,,,
?? ??????? ??,1395/07/25,47,23,66,23,77,96,96,,1,,,,
?? ??????? ??,1395/07/26,46,29,65,22,69,90,90,,1,,,,
?? ??????? ??,1395/07/27,46,36,64,24,76,97,97,,1,,,,
?? ??????? ??,1395/07/28,37,20,65,23,77,95,95,,1,,,,
?? ??????? ??,1395/07/29,42,30,69,24,76,96,96,,1,,,,
?? ??????? ??,1395/07/30,43,41,63,22,70,94,94,,1,,,,
?? ??????? ??,1395/08/01,37,42,55,21,63,80,80,,1,,,,
?? ??????? ??,1395/08/02,42,35,59,24,58,83,83,,1,,,,
?? ??????? ??,1395/08/03,40,37,63,24,63,85,85,,1,,,,
?? ??????? ??,1395/08/04,39,40,64,23,57,78,78,,1,,,,
?? ??????? ??,1395/08/05,32,30,56,22,46,65,65,,1,,,,
?? ??????? ??,1395/08/06,41,24,75,25,66,85,85,,1,,,,
?? ??????? ??,1395/08/07,80,28,76,27,77,110,110,,,1,,,
?? ??????? ??,1395/08/08,53,38,73,28,78,116,116,,,1,,,
?? ??????? ??,1395/08/09,46,31,72,25,75,116,116,,,1,,,
?? ??????? ??,1395/08/10,59,37,73,24,77,110,110,,,1,,,
?? ??????? ??,1395/08/11,45,30,54,19,67,89,89,,1,,,,
?? ??????? ??,1395/08/12,38,34,57,21,73,99,99,,1,,,,
?? ??????? ??,1395/08/13,29,29,48,16,64,69,69,,1,,,,
?? ??????? ??,1395/08/14,46,24,61,20,60,86,86,,1,,,,
?? ??????? ??,1395/08/15,52,26,83,25,72,106,106,,,1,,,
?? ??????? ??,1395/08/16,38,28,80,21,65,99,99,,1,,,,
?? ??????? ??,1395/08/17,32,29,56,19,44,66,66,,1,,,,
?? ??????? ??,1395/08/18,35,26,62,19,43,70,70,,1,,,,
?? ??????? ??,1395/08/19,45,26,76,20,63,107,107,,,1,,,
?? ??????? ??,1395/08/20,50,26,85,22,75,123,123,,,1,,,
?? ??????? ??,1395/08/21,60,30,88,26,74,120,120,,,1,,,
?? ??????? ??,1395/08/22,65,32,88,28,79,136,136,,,1,,,
?? ??????? ??,1395/08/23,72,34,104,27,98,156,156,,,,1,,
?? ??????? ??,1395/08/24,64,36,100,31,97,155,155,,,,1,,
?? ??????? ??,1395/08/25,59,27,103,29,94,146,146,,,1,,,
?? ??????? ??,1395/08/26,67,26,96,33,107,154,154,,,,1,,
?? ??????? ??,1395/08/27,54,35,96,30,128,140,140,,,1,,,
?? ??????? ??,1395/08/28,60,20,90,28,87,124,124,,,1,,,
?? ??????? ??,1395/08/29,48,23,79,24,69,102,102,,,1,,,
?? ??????? ??,1395/08/30,32,19,56,18,62,70,70,,1,,,,
?? ??????? ??,1395/09/01,31,18,48,17,28,50,50,1,,,,,
?? ??????? ??,1395/09/02,32,22,46,19,31,53,53,,1,,,,
?? ??????? ??,1395/09/03,38,23,49,23,34,54,54,,1,,,,
?? ??????? ??,1395/09/04,31,22,50,19,38,49,49,1,,,,,
?? ??????? ??,1395/09/05,30,19,49,20,46,70,70,,1,,,,
?? ??????? ??,1395/09/06,38,22,67,29,55,94,94,,1,,,,
?? ??????? ??,1395/09/07,40,17,71,36,69,126,126,,,1,,,
?? ??????? ??,1395/09/08,42,13,81,39,76,126,126,,,1,,,
?? ??????? ??,1395/09/09,63,19,91,30,77,139,139,,,1,,,
?? ??????? ??,1395/09/10,69,14,103,35,94,152,152,,,,1,,
?? ??????? ??,1395/09/11,54,19,98,40,91,151,151,,,,1,,
?? ??????? ??,1395/09/12,54,13,87,27,74,126,126,,,1,,,
?? ??????? ??,1395/09/13,60,15,77,20,42,75,75,,1,,,,
?? ??????? ??,1395/09/14,52,26,74,21,47,64,64,,1,,,,
?? ??????? ??,1395/09/15,61,21,88,25,63,99,99,,1,,,,
?? ??????? ??,1395/09/16,40,14,94,26,63,108,108,,,1,,,
?? ??????? ??,1395/09/17,45,19,77,19,52,83,83,,1,,,,
?? ??????? ??,1395/09/18,58,13,95,24,60,106,106,,,1,,,
?? ??????? ??,1395/09/19,34,15,84,20,46,72,72,,1,,,,
?? ??????? ??,1395/09/20,38,19,64,22,43,78,78,,1,,,,
?? ??????? ??,1395/09/21,47,16,83,28,74,131,131,,,1,,,
?? ??????? ??,1395/09/22,37,23,69,19,42,66,66,,1,,,,
?? ??????? ??,1395/09/23,50,16,77,25,59,103,103,,,1,,,
?? ??????? ??,1395/09/24,50,19,83,37,79,135,135,,,1,,,
?? ??????? ??,1395/09/25,42,25,86,38,74,122,122,,,1,,,
?? ??????? ??,1395/09/26,34,21,58,18,42,60,60,,1,,,,
?? ??????? ??,1395/09/27,39,28,63,18,33,49,49,1,,,,,
?? ??????? ??,1395/09/28,32,33,56,19,30,47,47,1,,,,,
?? ??????? ??,1395/09/29,37,26,56,22,41,65,65,,1,,,,
?? ??????? ??,1395/09/30,31,17,53,25,42,65,65,,1,,,,
?? ??????? ??,1395/10/01,32,17,64,23,55,100,100,,1,,,,
?? ??????? ??,1395/10/02,45,18,79,24,68,126,126,,,1,,,
?? ??????? ??,1395/10/03,50,15,85,29,87,153,153,,,,1,,
?? ??????? ??,1395/10/04,43,16,84,30,86,154,154,,,,1,,
?? ??????? ??,1395/10/05,37,13,73,27,79,143,143,,,1,,,
?? ??????? ??,1395/10/06,45,7,63,20,67,138,138,,,1,,,
?? ??????? ??,1395/10/07,69,16,86,21,83,142,142,,,1,,,
?? ??????? ??,1395/10/08,38,14,64,16,43,94,94,,1,,,,
?? ??????? ??,1395/10/09,48,11,84,18,51,93,93,,1,,,,
?? ??????? ??,1395/10/10,50,15,88,22,72,124,124,,,1,,,
?? ??????? ??,1395/10/11,42,14,92,27,81,141,141,,,1,,,
?? ??????? ??,1395/10/12,50,15,87,28,92,151,151,,,,1,,
?? ??????? ??,1395/10/13,37,16,77,25,85,142,142,,,1,,,
?? ??????? ??,1395/10/14,28,29,59,15,36,54,54,,1,,,,
?? ??????? ??,1395/10/15,40,21,70,19,46,74,74,,1,,,,
?? ??????? ??,1395/10/16,30,28,64,17,34,51,51,,1,,,,
?? ??????? ??,1395/10/17,43,21,77,20,58,93,93,,1,,,,
?? ??????? ??,1395/10/18,51,23,91,34,71,130,130,,,1,,,
?? ??????? ??,1395/10/19,51,21,92,35,84,142,142,,,1,,,
?? ??????? ??,1395/10/20,54,16,93,31,95,159,159,,,,1,,
?? ??????? ??,1395/10/21,38,15,91,24,65,124,124,,,1,,,
?? ??????? ??,1395/10/22,52,20,82,20,69,127,127,,,1,,,
?? ??????? ??,1395/10/23,48,16,86,25,76,135,135,,,1,,,
?? ??????? ??,1395/10/24,37,20,80,20,61,113,113,,,1,,,
?? ??????? ??,1395/10/25,33,25,68,22,58,110,110,,,1,,,
?? ??????? ??,1395/10/26,36,26,68,19,57,83,83,,1,,,,
?? ??????? ??,1395/10/27,41,18,69,23,72,119,119,,,1,,,
?? ??????? ??,1395/10/28,47,15,84,22,66,124,124,,,1,,,
?? ??????? ??,1395/10/29,45,21,86,25,68,125,125,,,1,,,
?? ??????? ??,1395/10/30,42,22,84,22,73,133,133,,,1,,,
?? ??????? ??,1395/11/01,38,22,82,23,75,131,131,,,1,,,
?? ??????? ??,1395/11/02,30,29,67,19,53,104,104,,,1,,,
?? ??????? ??,1395/11/03,35,18,73,17,51,96,96,,1,,,,
?? ??????? ??,1395/11/04,33,26,68,17,50,91,91,,1,,,,
?? ??????? ??,1395/11/05,34,21,63,18,50,88,88,,1,,,,
?? ??????? ??,1395/11/06,44,19,74,19,57,114,114,,,1,,,
?? ??????? ??,1395/11/07,33,17,71,19,54,90,90,,1,,,,
?? ??????? ??,1395/11/08,42,10,78,25,66,118,118,,,1,,,
?? ??????? ??,1395/11/09,34,15,68,15,27,67,67,,1,,,,
?? ??????? ??,1395/11/10,28,29,65,17,41,73,73,,1,,,,
?? ??????? ??,1395/11/11,30,28,63,15,37,55,55,,1,,,,
?? ??????? ??,1395/11/12,37,19,82,22,65,101,101,,,1,,,
